,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline_binary,attention_binary,baseline_beta,attention_beta,baseline_uncertain,attention_uncertain
0,3,0.2126806378364563,110,0.7711270451545715,0.3130730837583542,0.1261829137802124,-0.04953944683074951,0.16075944900512695,0.15545862913131714,0.15269428491592407,0.1544995903968811
1,12,0.11656460165977478,70,1.4374914467334747,0.806549054880937,0.8973428010940552,0.9052304029464722,0.8982138633728027,0.8961452841758728,0.8979331254959106,0.899254560470581
2,5,0.16888393461704254,70,0.9709106981754303,0.5117440422375997,0.1983742117881775,0.2160767912864685,0.20065045356750488,0.23280376195907593,0.20307153463363647,0.22814089059829712
3,16,0.2611895799636841,46,2.053504705429077,0.625913546482722,0.47741663455963135,0.43976521492004395,0.49365752935409546,0.4637928009033203,0.4910213351249695,0.4830215573310852
4,11,0.2725786566734314,21,1.1011738002300262,0.6436030467351278,0.7916600704193115,0.02379554510116577,0.8054919838905334,0.8165745139122009,0.8016444444656372,0.812238335609436
5,4,0.3258037567138672,47,1.384915053844452,1.053492695093155,0.8682981729507446,0.8677070736885071,0.8689295053482056,0.8668183088302612,0.8690129518508911,0.8686279654502869
6,19,0.1303892582654953,66,0.955688439309597,0.5316524217526118,0.04997706413269043,0.07697486877441406,0.054647207260131836,0.08996140956878662,0.053219377994537354,0.08991217613220215
7,8,0.17226745188236237,66,0.7310507595539093,0.6928943321108818,0.5692579746246338,0.25460171699523926,0.5909121632575989,0.5967768430709839,0.5748708248138428,0.5896210670471191
8,9,0.12563766539096832,87,1.050565276827131,0.5846167802810669,0.18824464082717896,0.18797630071640015,0.18739962577819824,0.18872082233428955,0.18763083219528198,0.18679797649383545
9,5,0.15905602276325226,111,1.1794954538345337,0.5295816659927368,0.4648582339286804,0.44881486892700195,0.46054112911224365,0.46021533012390137,0.46086329221725464,0.4615631699562073
10,18,0.12953901290893555,148,0.9156151339411736,0.606684997677803,0.5305999517440796,0.5295544862747192,0.5302289724349976,0.5307149887084961,0.5298796892166138,0.5314713716506958
11,10,0.20267653465270996,163,1.0349981188774109,0.46076423142637524,0.7536612153053284,0.6158124804496765,0.7507103681564331,0.7515888214111328,0.7562969326972961,0.7518599629402161
12,10,0.16482675075531006,78,1.2315742522478104,0.40812546014785767,0.2195950746536255,0.17143315076828003,0.217016339302063,0.220409095287323,0.21897035837173462,0.21982812881469727
13,12,0.10564854741096497,139,0.7130739731448037,0.4050776243209839,-0.014203548431396484,-0.022753238677978516,-0.01571178436279297,-0.03165316581726074,-0.015180706977844238,-0.02187526226043701
14,21,0.12614743411540985,114,1.4290123383204143,0.8123665193716685,0.015315115451812744,0.0641358494758606,0.02841430902481079,0.0380321741104126,0.041714370250701904,0.03843379020690918
