,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,attention
0,19,0.3555389940738678,20,1.242855966091156,0.5456527801496642,0.6440632343292236,0.8742384314537048
1,6,0.30276769399642944,182,0.6870661973953247,0.38215934857726097,0.5036457777023315,0.49700480699539185
2,21,0.3156639337539673,132,1.512876033782959,0.7042707590495839,0.5168952941894531,0.5200409293174744
3,16,0.1933257132768631,76,1.0931003540754318,0.4023439437150955,0.10688382387161255,0.11283522844314575
4,6,0.11208929866552353,39,1.1698767617344856,0.5913944244384766,0.006727695465087891,0.04468262195587158
5,7,0.3010658919811249,182,1.3830036918322246,0.8051430024206638,0.020575523376464844,0.026778578758239746
6,16,0.2334229201078415,133,1.6156260013580321,0.5920821211554788,0.08278918266296387,0.1196165680885315
7,17,0.3482697904109955,9,1.1216928362846375,0.5334198474884033,0.19134831428527832,0.2013445496559143
8,10,0.2514602243900299,46,1.2521188348531722,0.5228252828121185,0.1630449891090393,0.35092514753341675
9,25,0.1782471239566803,163,1.1015161201357841,0.646122972880091,0.6132354736328125,0.6281270980834961
10,5,0.14256551861763,34,0.9351344257593155,0.24786460399627686,0.08683866262435913,0.06002610921859741
11,22,0.31776270270347595,30,1.480141043663025,0.5811516642570496,0.3154367208480835,0.5686068534851074
12,24,0.12240812927484512,27,0.8310628347098827,0.5087231583893299,-0.018493175506591797,-0.07848739624023438
13,21,0.1324198693037033,75,0.8039804458618164,0.537313075736165,0.6031854152679443,0.6279394030570984
14,21,0.15088887512683868,191,0.9646064241727194,0.5105527907609939,0.008758187294006348,0.1868630051612854
15,20,0.16000540554523468,60,1.1463581204414368,0.5980679412682851,0.5648528337478638,0.6755846738815308
16,21,0.2526332139968872,166,0.8381684074799219,0.5995824469460381,0.7916890382766724,0.8667840957641602
17,14,0.21358996629714966,179,0.8772914856672287,0.5399620950222015,0.33697259426116943,0.34419679641723633
18,18,0.20140720903873444,198,0.6807702158888181,0.4412692648669084,0.3591177463531494,0.36885160207748413
19,7,0.3493962585926056,77,1.6479555169741313,0.48837535828351974,0.5584816932678223,0.5503398776054382
20,19,0.12938949465751648,63,0.7608869895339012,0.45291577685963025,0.022150635719299316,0.03562134504318237
21,13,0.18303944170475006,31,0.9835163950920105,0.5601909160614014,0.5628167390823364,0.6964668035507202
22,8,0.22248399257659912,26,1.4288508415222168,0.3304043114185333,-0.060050368309020996,0.10418623685836792
23,19,0.31850874423980713,27,1.6207609971364338,0.5629656873643398,-0.10798013210296631,-0.19673264026641846
24,20,0.26833289861679077,152,0.3369428515434265,0.6275288007761303,0.001294553279876709,0.06496435403823853
25,25,0.1009364053606987,87,1.418014645576477,0.5344655886292458,0.8268566131591797,0.8254788517951965
26,15,0.1176566556096077,146,0.7114134218011584,0.36320043727755547,0.07299357652664185,0.13545984029769897
27,10,0.2291625738143921,114,1.28373521566391,0.6842700727283955,0.4948815107345581,0.5023468732833862
28,4,0.30443838238716125,33,1.6206474304199219,0.4992067217826843,0.8965052366256714,0.8983983993530273
29,7,0.3411843776702881,21,1.0433192253112793,0.5606715853015581,0.9378098845481873,0.9499480724334717
30,25,0.2895693778991699,184,0.9823208570480346,0.6101622320711613,0.24217045307159424,0.3198085427284241
31,11,0.35680708289146423,176,0.7870989044507345,0.5411800723522902,0.0208665132522583,0.04656088352203369
32,13,0.10973292589187622,77,1.2293185161219702,0.4961206316947937,0.20485687255859375,0.21568185091018677
33,13,0.15810909867286682,53,0.8721994981169701,0.7714179992675781,0.1846866011619568,0.22453361749649048
34,24,0.13575685024261475,85,1.0930285453796387,0.4433844489486594,0.05248314142227173,0.21722042560577393
35,12,0.11801941692829132,162,0.8201790352662405,0.5281096862422096,0.5877680778503418,0.5894879102706909
36,12,0.16960828006267548,142,1.4163371721903484,0.4524441237250964,0.24860966205596924,0.28136104345321655
37,15,0.12382780015468597,50,0.650597585099084,0.8275382816791534,0.16615545749664307,0.2597026824951172
38,25,0.3461891710758209,137,1.8180874188741047,0.7491364092989401,0.7144858241081238,0.7822346687316895
39,13,0.3106696307659149,166,0.5456902459263802,0.6636057330502404,0.20248383283615112,0.1878805160522461
40,8,0.2259078174829483,175,0.6616311172644297,0.7403401970863343,0.05510932207107544,0.04445856809616089
41,5,0.2952379584312439,9,1.1365646719932556,0.5464709252119064,0.09512734413146973,0.6176878213882446
42,21,0.2905753254890442,98,1.8412283658981323,0.6625022027227614,0.029600858688354492,0.25768613815307617
43,25,0.1216946467757225,140,0.9717638343572617,0.49716881942003965,0.5785017013549805,0.5187770128250122
44,13,0.2771640717983246,82,0.5267693897088369,0.4849172055721283,0.1452934741973877,0.15449893474578857
45,20,0.18383923172950745,132,0.846708032488823,0.7017180293798446,0.07489925622940063,0.0609317421913147
46,18,0.2878013253211975,68,0.5885996421178182,0.5579451243082683,0.7564206123352051,0.7984349727630615
47,18,0.15489111840724945,2,0.38038477301597595,0.6759183911176828,-0.20891714096069336,-0.06512033939361572
48,16,0.10479135066270828,192,1.3485085027558463,0.5619875523779128,0.5524634718894958,0.5492122173309326
49,16,0.2491721510887146,103,1.2874348729848861,0.4404827762733806,0.7089812755584717,0.7240041494369507
50,13,0.1024516150355339,199,1.4431244492530824,0.5297718681395054,0.2985561490058899,0.30529171228408813
51,24,0.19772662222385406,46,0.7255875865618387,0.40470173458258313,0.6891186833381653,0.7045194506645203
52,18,0.18815134465694427,59,0.8777332107226054,0.5846671342849732,0.09991228580474854,0.07434749603271484
53,17,0.1311512589454651,50,0.7677928184469541,0.5201629942113702,0.8450362086296082,0.8504747152328491
54,5,0.10810928046703339,40,0.5629923455417156,0.45765095949172974,0.07839840650558472,0.10240834951400757
55,13,0.15796512365341187,60,1.454232633113861,0.5821933090686798,0.02421736717224121,0.0310823917388916
56,17,0.1929733157157898,138,1.132278609275818,0.6889915888508161,0.008070051670074463,0.044347941875457764
57,15,0.1952856481075287,131,1.8068889558315278,0.7011871069669724,0.7535631656646729,0.7626928091049194
58,10,0.15129585564136505,199,1.1136508584022522,0.6188571279247602,0.35347092151641846,0.36168599128723145
59,24,0.150445818901062,53,0.9973384489615759,0.5951710939407349,0.12806928157806396,0.14416438341140747
60,15,0.11386694014072418,9,0.8026171326637268,0.47782958671450615,-0.06371986865997314,-0.07561945915222168
61,20,0.3145183324813843,192,1.1603192289670308,0.7910018160062677,0.6169396638870239,0.6200366616249084
62,14,0.12725313007831573,186,1.398304351738521,0.582352203982217,0.8855527639389038,0.887884795665741
63,22,0.12080284208059311,90,1.1004019515080885,0.8198123330419714,0.3726353049278259,0.36723411083221436
64,17,0.21693433821201324,93,1.5294443794659205,0.4586096167564392,0.5429288148880005,0.5587278008460999
65,9,0.3766584098339081,118,1.0364389941096306,0.6914071321487427,0.5844684839248657,0.5842462778091431
66,10,0.2624097764492035,185,1.3215363025665283,0.5368500500917435,0.7339212894439697,0.7328180074691772
67,23,0.22414878010749817,128,1.3898590207099915,0.42851686626672747,0.8692848682403564,0.874714732170105
68,14,0.17291028797626495,141,1.7622020483016967,0.5967591305573782,0.9341265559196472,0.932173490524292
69,14,0.21085330843925476,120,1.472732013463974,0.5324472900893953,0.03438675403594971,0.042797982692718506
70,11,0.349735826253891,37,1.007298231124878,0.3897351659834385,0.79407799243927,0.801521897315979
71,22,0.15529710054397583,60,1.3577778190374374,0.5027886976798376,0.9676063656806946,0.9678313136100769
72,13,0.3714256286621094,172,0.770205557346344,0.45979800671339033,0.07558214664459229,0.09653180837631226
73,10,0.14626920223236084,143,1.042698621749878,0.708058911561966,0.036612629890441895,0.039968132972717285
74,7,0.2482498437166214,159,0.7591875158250332,0.41692938407262164,0.5446636080741882,0.5352404117584229
75,12,0.16058361530303955,195,0.5439672342368534,0.648447972536087,0.3174595236778259,0.3056876063346863
76,24,0.13185147941112518,185,0.944225800888879,0.6923445743672988,0.7568989396095276,0.750015139579773
77,4,0.13803589344024658,141,0.8315977156162262,0.27327369898557663,0.5780390501022339,0.5778378248214722
78,22,0.1287497729063034,195,1.7681407451629638,0.6416551374337253,0.7679895758628845,0.7858709692955017
79,12,0.17821866273880005,36,1.0941339612007142,0.6737181629453387,-0.07930421829223633,-0.019542336463928223
80,24,0.2821713089942932,32,1.4247287660837173,0.592131376943805,0.5169186592102051,0.5774655342102051
81,20,0.10070698708295822,144,0.8202745980686612,0.5622754950415004,0.2871477007865906,0.2664124369621277
82,3,0.25175997614860535,180,0.47333139181137085,0.5735641121864319,0.29589301347732544,0.2939712405204773
83,22,0.3842160403728485,171,1.0315887729326885,0.5478381812572479,0.26003146171569824,0.29454225301742554
84,4,0.13128769397735596,163,0.9696654081344604,0.45197218656539917,0.020874321460723877,0.01602572202682495
85,14,0.20935137569904327,36,1.210254567861557,0.4108981324566735,0.023883700370788574,-0.004447817802429199
86,24,0.11430279165506363,171,0.9937859986509595,0.5261152859996346,0.7393100261688232,0.765353798866272
87,3,0.3683928847312927,167,1.3223594427108765,0.32264839112758636,0.7582366466522217,0.7550427317619324
88,4,0.33305811882019043,114,0.8062642415364584,0.3969736099243164,0.6350008249282837,0.630446195602417
89,8,0.17449548840522766,38,1.4209290742874146,0.26690916419029237,0.6835635900497437,0.6786867380142212
90,18,0.21002423763275146,174,1.397002100944519,0.7865811447302501,0.45766621828079224,0.4720694422721863
91,7,0.32924509048461914,84,1.112632691860199,0.6529477298259735,0.5232260823249817,0.5516257286071777
92,23,0.10502902418375015,181,1.1515708698166742,0.4836192311985152,-0.008620262145996094,0.06348985433578491
93,13,0.12951329350471497,126,0.6459702253341675,0.7647932668526968,0.015630722045898438,0.03886526823043823
94,25,0.21658359467983246,108,1.359982614006315,0.5870513725611899,0.8605772256851196,0.866016685962677
95,19,0.23636753857135773,154,1.1648240064581235,0.7390813689965469,0.8343069553375244,0.8314508199691772
96,3,0.22087933123111725,41,1.2118287980556488,0.9629483819007874,0.2173745036125183,0.23199331760406494
97,21,0.1134147122502327,126,0.9185557901859284,0.6144155656749551,0.4520515203475952,0.4744753837585449
