,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,nll
0,6,0.10766734182834625,46,0.5086679816246032,0.2864927053451538,5.1364972023293376e-05,5.111565405968577e-05
1,5,0.29220762848854065,197,1.4520022869110107,0.3651411135991414,1.18923426271067e-05,1.3317985576577485e-05
2,7,0.15019682049751282,126,0.4717783232529958,0.6321225054562092,7.271003596542869e-06,7.457950687239645e-06
3,8,0.27901601791381836,200,1.435631938278675,1.1958237439393997,8.227972330132616e-07,1.3138650274413521e-06
4,8,0.13856852054595947,24,0.6973730683326721,0.9074130058288574,3.210869863323751e-06,3.4702845823630923e-06
5,14,0.15233203768730164,5,1.0755101516842842,0.6987360954284668,6.0399979702197015e-06,6.7688256422115956e-06
6,8,0.10737794637680054,55,0.8183487951755524,0.6517260074615479,7.863106475269888e-06,8.18212629383197e-06
7,12,0.24171514809131622,106,0.8469913750886917,0.8808815181255341,7.5265797931933776e-06,9.948420483851805e-06
8,9,0.36289575695991516,106,1.531698187192281,0.3864353547493617,9.483783287578262e-06,1.0414141797809862e-05
9,11,0.13058342039585114,54,1.0066274007161458,0.7778801005333662,2.6574780349619687e-06,2.8547597139549907e-06
10,15,0.23286645114421844,21,1.3660835176706314,0.7528001897864871,3.904714321834035e-05,3.838200791506097e-05
11,4,0.23319347202777863,171,0.6646674573421478,0.5771009922027588,4.007259576610522e-06,4.256146439729491e-06
12,9,0.24834544956684113,60,1.1361057957013447,0.8706661462783813,6.957364462323312e-07,1.0175372153753415e-06
13,7,0.3265310525894165,122,1.1396033465862274,0.48491084575653076,2.0117382518947124e-05,2.2425381757784635e-05
14,25,0.15072108805179596,111,1.5545049210389454,0.46086030859838834,4.094683026778512e-05,4.429040927789174e-05
15,4,0.15389950573444366,25,0.7369657953580221,1.0063589811325073,4.9369598855264485e-05,5.491285628522746e-05
16,9,0.14454907178878784,15,1.1081194082895915,0.4261782268683116,4.5419770344778954e-07,6.29161775123066e-07
17,10,0.12713173031806946,70,0.6319334656000137,0.9836717545986176,2.4695000320207328e-06,2.9228051516838605e-06
