,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,graph_info_score,baseline_binary,attention_binary,baseline_beta,attention_beta,baseline_uncertain,attention_uncertain
0,19,0.3555389940738678,20,1.242855966091156,0.5456527801496642,0.8919667590027701,0.6440632343292236,0.28010302782058716,0.32224100828170776,0.5182040929794312,0.25378257036209106,0.49222296476364136
1,6,0.30276769399642944,182,0.6870661973953247,0.38215934857726097,0.05555555555555555,0.5036457777023315,0.5036966800689697,0.5037469863891602,0.4978380799293518,0.5041741728782654,0.5025631785392761
2,21,0.3156639337539673,132,1.512876033782959,0.7042707590495839,0.30158730158730157,0.5168952941894531,0.522213339805603,0.5198761820793152,0.5142093896865845,0.5177479982376099,0.5201849937438965
3,16,0.1933257132768631,76,1.0931003540754318,0.4023439437150955,0.0078125,0.10688382387161255,0.11373406648635864,0.11813575029373169,0.10994976758956909,0.11564791202545166,0.11535447835922241
4,6,0.11208929866552353,39,1.1698767617344856,0.5913944244384766,0.6388888888888888,0.006727695465087891,-0.0020061731338500977,0.003750324249267578,0.007376313209533691,0.0023073554039001465,-0.0029410123825073242
5,7,0.3010658919811249,182,1.3830036918322246,0.8051430024206638,0.2857142857142857,0.020575523376464844,-0.003579378128051758,0.019336163997650146,0.023720085620880127,0.02402275800704956,0.028905093669891357
6,16,0.2334229201078415,133,1.6156260013580321,0.5920821211554788,0.2734375,0.08278918266296387,0.107815682888031,0.0733460783958435,0.12879109382629395,0.09019285440444946,0.1402565836906433
7,17,0.3482697904109955,9,1.1216928362846375,0.5334198474884033,0.3737024221453287,0.19134831428527832,-0.1543135643005371,0.26860755681991577,0.11261516809463501,0.25914305448532104,0.1953250765800476
8,10,0.2514602243900299,46,1.2521188348531722,0.5228252828121185,0.72,0.1630449891090393,0.1730968952178955,0.153506338596344,0.16800463199615479,0.15382874011993408,0.15331202745437622
9,25,0.1782471239566803,163,1.1015161201357841,0.646122972880091,0.1904,0.6132354736328125,0.5987704992294312,0.6035729646682739,0.600437581539154,0.6150866746902466,0.6056418418884277
10,5,0.14256551861763,34,0.9351344257593155,0.24786460399627686,0.12,0.08683866262435913,-0.0073468685150146484,0.0723758339881897,0.0689551830291748,0.05878704786300659,0.11172491312026978
11,22,0.31776270270347595,30,1.480141043663025,0.5811516642570496,0.11570247933884298,0.3154367208480835,0.6226980686187744,0.24885553121566772,0.4613008499145508,0.1864711046218872,0.39641237258911133
12,24,0.12240812927484512,27,0.8310628347098827,0.5087231583893299,0.8246527777777778,-0.018493175506591797,-0.03702700138092041,-0.016914725303649902,-0.01700007915496826,-0.021651625633239746,-0.0026183128356933594
13,21,0.1324198693037033,75,0.8039804458618164,0.537313075736165,0.1655328798185941,0.6031854152679443,0.551019549369812,0.5871589779853821,0.6092139482498169,0.5895808935165405,0.6243032813072205
14,21,0.15088887512683868,191,0.9646064241727194,0.5105527907609939,0.1927437641723356,0.008758187294006348,0.1384018063545227,0.010226964950561523,0.11800068616867065,0.021233022212982178,0.1252509355545044
15,20,0.16000540554523468,60,1.1463581204414368,0.5980679412682851,0.8125,0.5648528337478638,0.6847236156463623,0.5522497296333313,0.6438623070716858,0.5512973070144653,0.603529691696167
16,21,0.2526332139968872,166,0.8381684074799219,0.5995824469460381,0.31746031746031744,0.7916890382766724,0.6771657466888428,0.7750290632247925,0.7975008487701416,0.7777241468429565,0.7949073314666748
17,14,0.21358996629714966,179,0.8772914856672287,0.5399620950222015,0.8010204081632653,0.33697259426116943,0.28159278631210327,0.3444429636001587,0.32807254791259766,0.33328956365585327,0.330266535282135
18,18,0.20140720903873444,198,0.6807702158888181,0.4412692648669084,0.8395061728395061,0.3591177463531494,0.13845407962799072,0.3237593173980713,0.3372586965560913,0.3512265682220459,0.3170757293701172
19,7,0.3493962585926056,77,1.6479555169741313,0.48837535828351974,0.7959183673469388,0.5584816932678223,0.5469611883163452,0.5566368103027344,0.548126220703125,0.5491576194763184,0.5573381781578064
20,19,0.12938949465751648,63,0.7608869895339012,0.45291577685963025,0.5096952908587258,0.022150635719299316,0.019842445850372314,0.022849321365356445,0.007544279098510742,0.016247570514678955,0.016572952270507812
21,13,0.18303944170475006,31,0.9835163950920105,0.5601909160614014,0.21301775147928995,0.5628167390823364,0.6566150188446045,0.5584167242050171,0.6612302660942078,0.5986983776092529,0.6515766382217407
22,8,0.22248399257659912,26,1.4288508415222168,0.3304043114185333,0.015625,-0.060050368309020996,0.10418623685836792,-0.06250691413879395,0.03970944881439209,-0.05794644355773926,0.0875622034072876
23,19,0.31850874423980713,27,1.6207609971364338,0.5629656873643398,0.5373961218836565,-0.10798013210296631,-0.09506714344024658,-0.07725632190704346,-0.1763993501663208,-0.07655155658721924,-0.13499033451080322
24,20,0.26833289861679077,152,0.3369428515434265,0.6275288007761303,0.2125,0.001294553279876709,0.01506197452545166,0.0025418996810913086,-0.005493760108947754,0.010513365268707275,-0.01491236686706543
25,25,0.1009364053606987,87,1.418014645576477,0.5344655886292458,0.3424,0.8268566131591797,0.8297909498214722,0.8249565362930298,0.8164861798286438,0.8292602896690369,0.8130172491073608
26,15,0.1176566556096077,146,0.7114134218011584,0.36320043727755547,0.49333333333333335,0.07299357652664185,0.007078349590301514,0.061391472816467285,0.07688051462173462,0.05495721101760864,0.02287125587463379
27,10,0.2291625738143921,114,1.28373521566391,0.6842700727283955,0.28,0.4948815107345581,0.4922593832015991,0.4980708360671997,0.5048578977584839,0.4972255229949951,0.4988747835159302
28,4,0.30443838238716125,33,1.6206474304199219,0.4992067217826843,0.8125,0.8965052366256714,0.8877050876617432,0.8960919976234436,0.8986732363700867,0.8849742412567139,0.8914427757263184
29,7,0.3411843776702881,21,1.0433192253112793,0.5606715853015581,0.4897959183673469,0.9378098845481873,0.7635953426361084,0.9364128708839417,0.8503403067588806,0.9377928972244263,0.947521448135376
30,25,0.2895693778991699,184,0.9823208570480346,0.6101622320711613,0.0096,0.24217045307159424,0.3201007843017578,0.28942304849624634,0.2660753130912781,0.24644917249679565,0.2536987066268921
31,11,0.35680708289146423,176,0.7870989044507345,0.5411800723522902,0.6528925619834711,0.0208665132522583,-0.005501747131347656,0.029412925243377686,-0.0031812191009521484,0.03087329864501953,-0.010204553604125977
32,13,0.10973292589187622,77,1.2293185161219702,0.4961206316947937,0.8284023668639053,0.20485687255859375,0.13173681497573853,0.1984369158744812,0.23957514762878418,0.22146481275558472,0.211592435836792
33,13,0.15810909867286682,53,0.8721994981169701,0.7714179992675781,0.20118343195266272,0.1846866011619568,0.23493623733520508,0.19811832904815674,0.2126750349998474,0.2059788703918457,0.2281513810157776
34,24,0.13575685024261475,85,1.0930285453796387,0.4433844489486594,0.5052083333333334,0.05248314142227173,0.1370711326599121,0.01160341501235962,0.1312795877456665,0.02000558376312256,0.09347879886627197
35,12,0.11801941692829132,162,0.8201790352662405,0.5281096862422096,0.9375,0.5877680778503418,0.48898422718048096,0.5901647806167603,0.5759588479995728,0.5802031755447388,0.5787186622619629
36,12,0.16960828006267548,142,1.4163371721903484,0.4524441237250964,0.3333333333333333,0.24860966205596924,0.23611688613891602,0.2583591938018799,0.1994190812110901,0.21750909090042114,0.22021615505218506
37,15,0.12382780015468597,50,0.650597585099084,0.8275382816791534,0.9866666666666667,0.16615545749664307,0.2910832166671753,0.18666034936904907,0.18868392705917358,0.16900944709777832,0.14955729246139526
38,25,0.3461891710758209,137,1.8180874188741047,0.7491364092989401,0.752,0.7144858241081238,0.6151760220527649,0.6555261015892029,0.6343905925750732,0.6353859901428223,0.6890879273414612
39,13,0.3106696307659149,166,0.5456902459263802,0.6636057330502404,0.28994082840236685,0.20248383283615112,0.17832672595977783,0.2087845802307129,0.18233191967010498,0.21672457456588745,0.21129608154296875
40,8,0.2259078174829483,175,0.6616311172644297,0.7403401970863343,0.890625,0.05510932207107544,-0.015864849090576172,0.059860050678253174,0.008022844791412354,0.0557895302772522,0.0317082405090332
41,5,0.2952379584312439,9,1.1365646719932556,0.5464709252119064,0.08,0.09512734413146973,0.6217994093894958,0.037148356437683105,0.3940649628639221,0.24087166786193848,0.4676031470298767
42,21,0.2905753254890442,98,1.8412283658981323,0.6625022027227614,0.23356009070294784,0.029600858688354492,0.2233310341835022,0.009260296821594238,0.11506420373916626,0.029337406158447266,0.06799352169036865
43,25,0.1216946467757225,140,0.9717638343572617,0.49716881942003965,0.1696,0.5785017013549805,0.5235082507133484,0.533157467842102,0.5148628950119019,0.5717142820358276,0.5665229558944702
44,13,0.2771640717983246,82,0.5267693897088369,0.4849172055721283,0.7928994082840237,0.1452934741973877,0.12571823596954346,0.1369457244873047,0.04643452167510986,0.1407010555267334,0.01324397325515747
45,20,0.18383923172950745,132,0.846708032488823,0.7017180293798446,0.265,0.07489925622940063,0.06215560436248779,0.06833434104919434,0.06184113025665283,0.07656830549240112,0.0633382797241211
46,18,0.2878013253211975,68,0.5885996421178182,0.5579451243082683,0.2654320987654321,0.7564206123352051,0.432375431060791,0.7324957847595215,0.6597011685371399,0.7315940260887146,0.710807204246521
47,18,0.15489111840724945,2,0.38038477301597595,0.6759183911176828,0.09567901234567901,-0.20891714096069336,-0.05857419967651367,-0.2140655517578125,-0.1341562271118164,-0.19680190086364746,-0.10106158256530762
48,16,0.10479135066270828,192,1.3485085027558463,0.5619875523779128,0.98046875,0.5524634718894958,0.503949761390686,0.5481501817703247,0.5519988536834717,0.552937924861908,0.5541874766349792
49,16,0.2491721510887146,103,1.2874348729848861,0.4404827762733806,0.19140625,0.7089812755584717,0.7404359579086304,0.7091736793518066,0.6858019828796387,0.7053781151771545,0.6068665385246277
50,13,0.1024516150355339,199,1.4431244492530824,0.5297718681395054,0.6745562130177515,0.2985561490058899,0.0817076563835144,0.28973525762557983,0.2980128526687622,0.29411983489990234,0.3029704689979553
51,24,0.19772662222385406,46,0.7255875865618387,0.40470173458258313,0.5989583333333334,0.6891186833381653,0.6916539072990417,0.6878170967102051,0.7027045488357544,0.6826111078262329,0.6898435950279236
52,18,0.18815134465694427,59,0.8777332107226054,0.5846671342849732,0.9166666666666666,0.09991228580474854,-0.07184529304504395,0.08499300479888916,0.031524658203125,0.07201528549194336,0.06374073028564453
