run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-10.0,4.2989096e-10,2.6597154e-13
69a18ce4,20,-9.9799795,1.0337143e-09,3.2100776e-13
69a18ce4,20,-9.95996,1.0376118e-09,1.719224e-13
69a18ce4,20,-9.9399395,1.0071736e-09,8.476646e-13
69a18ce4,20,-9.91992,1.1899522e-09,4.1226785e-13
69a18ce4,20,-9.8998995,1.1771706e-09,1.1235858e-12
69a18ce4,20,-9.87988,1.1937007e-09,4.344809e-13
69a18ce4,20,-9.859859,1.2215985e-09,9.944741e-13
69a18ce4,20,-9.83984,1.2518948e-09,7.5906376e-13
69a18ce4,20,-9.819819,1.4040279e-09,1.3025126e-12
69a18ce4,20,-9.7998,1.4035244e-09,6.302012e-13
69a18ce4,20,-9.779779,1.60205e-09,9.510829e-13
69a18ce4,20,-9.75976,1.5463761e-09,4.60327e-13
69a18ce4,20,-9.739739,1.7287174e-09,9.0528556e-13
69a18ce4,20,-9.71972,1.6586935e-09,2.4958432e-12
69a18ce4,20,-9.699699,1.5764908e-09,7.928215e-13
69a18ce4,20,-9.67968,1.6976495e-09,4.252475e-13
69a18ce4,20,-9.659659,1.87884e-09,2.062771e-12
69a18ce4,20,-9.63964,1.8566284e-09,1.1780537e-12
69a18ce4,20,-9.619619,2.103623e-09,1.3256114e-11
69a18ce4,20,-9.5996,2.090053e-09,1.1954602e-12
69a18ce4,20,-9.579579,2.33407e-09,5.900974e-12
69a18ce4,20,-9.55956,2.097461e-09,5.3135747e-12
69a18ce4,20,-9.539539,2.2755873e-09,2.4147073e-12
69a18ce4,20,-9.51952,2.3894482e-09,1.850555e-12
69a18ce4,20,-9.499499,2.2876812e-09,2.2364146e-12
69a18ce4,20,-9.47948,2.5764297e-09,2.8278428e-12
69a18ce4,20,-9.459459,2.8132514e-09,6.04964e-12
69a18ce4,20,-9.43944,2.8006166e-09,2.1332977e-12
69a18ce4,20,-9.419419,2.6139895e-09,8.41712e-12
69a18ce4,20,-9.3994,2.8809823e-09,8.528449e-12
69a18ce4,20,-9.379379,3.1907457e-09,2.3220207e-11
69a18ce4,20,-9.35936,3.2623027e-09,3.2944758e-12
69a18ce4,20,-9.339339,3.4418883e-09,2.011574e-11
69a18ce4,20,-9.31932,4.0168437e-09,2.1721902e-11
69a18ce4,20,-9.299299,3.5416012e-09,1.8325933e-11
69a18ce4,20,-9.27928,3.5910324e-09,2.1982733e-11
69a18ce4,20,-9.259259,3.9067594e-09,1.0944543e-11
69a18ce4,20,-9.23924,3.9179375e-09,7.415413e-12
69a18ce4,20,-9.219219,3.7654733e-09,1.2912363e-11
69a18ce4,20,-9.1992,3.7393e-09,1.052143e-11
69a18ce4,20,-9.179179,4.0289443e-09,7.035588e-11
69a18ce4,20,-9.15916,4.1879686e-09,3.9841724e-12
69a18ce4,20,-9.139139,4.380866e-09,4.156618e-11
69a18ce4,20,-9.119119,4.750698e-09,1.9591042e-11
69a18ce4,20,-9.099099,4.844268e-09,8.696507e-12
69a18ce4,20,-9.079079,5.0297726e-09,6.5555006e-11
69a18ce4,20,-9.059059,5.6967724e-09,1.5405515e-11
69a18ce4,20,-9.039039,5.524261e-09,5.3920993e-11
69a18ce4,20,-9.019019,5.5360543e-09,1.0933532e-10
69a18ce4,20,-8.998999,5.1923554e-09,1.3316764e-10
69a18ce4,20,-8.978979,6.189736e-09,9.771617e-11
69a18ce4,20,-8.958959,6.5889894e-09,3.7193013e-11
69a18ce4,20,-8.938939,6.1071885e-09,6.290562e-11
69a18ce4,20,-8.918919,6.065247e-09,3.076342e-11
69a18ce4,20,-8.898899,6.5757817e-09,1.5381242e-10
69a18ce4,20,-8.878879,7.61933e-09,1.207359e-10
69a18ce4,20,-8.858859,7.774767e-09,9.123937e-11
69a18ce4,20,-8.838839,7.1075936e-09,6.8437817e-10
69a18ce4,20,-8.818819,7.1405584e-09,2.0843273e-10
69a18ce4,20,-8.798799,7.8978335e-09,9.290395e-11
69a18ce4,20,-8.778779,8.041939e-09,1.1625882e-10
69a18ce4,20,-8.758759,8.6353475e-09,1.9022192e-10
69a18ce4,20,-8.738739,8.500074e-09,7.7779366e-10
69a18ce4,20,-8.718719,9.218476e-09,7.19e-10
69a18ce4,20,-8.698699,8.728826e-09,5.720015e-10
69a18ce4,20,-8.6786785,9.748544e-09,5.0415355e-10
69a18ce4,20,-8.658659,9.781305e-09,4.871302e-10
69a18ce4,20,-8.6386385,9.583559e-09,3.7501402e-10
69a18ce4,20,-8.618619,1.0858166e-08,9.373219e-10
69a18ce4,20,-8.5985985,1.039276e-08,3.9375564e-10
69a18ce4,20,-8.578579,1.1016185e-08,4.5177467e-10
69a18ce4,20,-8.558558,1.1118693e-08,3.9695894e-10
69a18ce4,20,-8.538539,1.1747892e-08,6.5942035e-10
69a18ce4,20,-8.518518,1.297853e-08,4.578828e-10
69a18ce4,20,-8.498499,1.2335448e-08,1.1112072e-09
69a18ce4,20,-8.478478,1.289203e-08,5.7750915e-10
69a18ce4,20,-8.458459,1.42901975e-08,1.0323646e-09
69a18ce4,20,-8.438438,1.4519887e-08,1.6163344e-09
69a18ce4,20,-8.418419,1.3810648e-08,1.2246943e-09
69a18ce4,20,-8.398398,1.4392471e-08,7.11121e-10
69a18ce4,20,-8.378379,1.5261792e-08,1.1057186e-09
69a18ce4,20,-8.358358,1.5424385e-08,1.6516786e-09
69a18ce4,20,-8.338339,1.6102486e-08,3.1950633e-09
69a18ce4,20,-8.318318,1.6258214e-08,9.491415e-10
69a18ce4,20,-8.298299,1.7989167e-08,1.2577418e-09
69a18ce4,20,-8.278278,1.716499e-08,1.3275053e-09
69a18ce4,20,-8.258258,1.8367885e-08,1.8124268e-09
69a18ce4,20,-8.238238,1.914776e-08,2.444797e-09
69a18ce4,20,-8.218218,1.8235827e-08,4.231609e-09
69a18ce4,20,-8.198198,1.9090546e-08,5.810672e-09
69a18ce4,20,-8.178178,2.0571134e-08,5.510622e-09
69a18ce4,20,-8.158158,2.2369056e-08,2.895294e-09
69a18ce4,20,-8.138138,2.2740307e-08,8.568294e-09
69a18ce4,20,-8.118118,2.1823887e-08,5.0173163e-09
69a18ce4,20,-8.098098,2.248914e-08,2.5827376e-09
69a18ce4,20,-8.078078,2.384428e-08,7.7813835e-09
69a18ce4,20,-8.058058,2.3465832e-08,6.3441155e-09
69a18ce4,20,-8.038038,2.3470442e-08,7.9531315e-09
69a18ce4,20,-8.018018,2.5026413e-08,3.9732124e-09
69a18ce4,20,-7.997998,2.5921205e-08,1.0024575e-08
69a18ce4,20,-7.977978,2.5885434e-08,8.164142e-09
69a18ce4,20,-7.957958,3.005565e-08,8.961325e-09
69a18ce4,20,-7.937938,3.1897553e-08,1.0841755e-08
69a18ce4,20,-7.917918,3.067985e-08,1.007372e-08
69a18ce4,20,-7.897898,3.1813098e-08,1.1211242e-08
69a18ce4,20,-7.877878,3.3301582e-08,9.380073e-09
69a18ce4,20,-7.8578577,3.465235e-08,1.310467e-08
69a18ce4,20,-7.8378377,3.7152088e-08,2.5588982e-08
69a18ce4,20,-7.8178177,3.8219216e-08,1.22617445e-08
69a18ce4,20,-7.7977977,3.8890672e-08,9.663699e-09
69a18ce4,20,-7.7777777,4.1300872e-08,1.870977e-08
69a18ce4,20,-7.7577577,3.946666e-08,2.0813223e-08
69a18ce4,20,-7.7377377,3.946538e-08,1.7894852e-08
69a18ce4,20,-7.7177176,4.1002373e-08,2.9660425e-08
69a18ce4,20,-7.6976976,4.6213334e-08,2.7769532e-08
69a18ce4,20,-7.6776776,4.3530985e-08,1.8731587e-08
69a18ce4,20,-7.6576576,4.982862e-08,5.976311e-08
69a18ce4,20,-7.6376376,4.8799464e-08,2.1765107e-08
69a18ce4,20,-7.6176176,5.401732e-08,2.7719155e-08
69a18ce4,20,-7.5975976,4.7173458e-08,5.2101555e-08
69a18ce4,20,-7.5775776,5.5189137e-08,4.0390795e-08
69a18ce4,20,-7.5575576,5.557629e-08,2.800063e-08
69a18ce4,20,-7.5375376,5.8170176e-08,3.882863e-08
69a18ce4,20,-7.5175176,6.2793035e-08,2.3285173e-08
69a18ce4,20,-7.4974976,6.2076396e-08,2.9628872e-08
69a18ce4,20,-7.4774776,6.450209e-08,2.9943497e-08
69a18ce4,20,-7.4574575,6.5547724e-08,2.6447532e-08
69a18ce4,20,-7.4374375,6.832976e-08,4.6818048e-08
69a18ce4,20,-7.4174175,6.982485e-08,6.522832e-08
69a18ce4,20,-7.3973975,7.362241e-08,5.1079784e-08
69a18ce4,20,-7.3773775,7.755102e-08,4.6755762e-08
69a18ce4,20,-7.3573575,7.683708e-08,3.898016e-08
69a18ce4,20,-7.3373375,7.578361e-08,7.4983035e-08
69a18ce4,20,-7.3173175,8.5988646e-08,6.012887e-08
69a18ce4,20,-7.2972975,8.7453785e-08,7.801078e-08
69a18ce4,20,-7.2772775,9.3510145e-08,7.0547735e-08
69a18ce4,20,-7.2572575,9.06423e-08,5.6728776e-08
69a18ce4,20,-7.2372375,9.2314124e-08,7.461538e-08
69a18ce4,20,-7.2172174,9.6363706e-08,1.3995376e-07
69a18ce4,20,-7.1971974,9.966356e-08,8.1413496e-08
69a18ce4,20,-7.1771774,1.0445906e-07,1.2106814e-07
69a18ce4,20,-7.1571574,1.11682205e-07,8.940551e-08
69a18ce4,20,-7.1371374,1.14183145e-07,7.798251e-08
69a18ce4,20,-7.1171174,1.1070661e-07,1.0405916e-07
69a18ce4,20,-7.0970974,1.1719922e-07,1.1826765e-07
69a18ce4,20,-7.0770774,1.2445393e-07,8.195443e-08
69a18ce4,20,-7.0570574,1.2737685e-07,1.2990103e-07
69a18ce4,20,-7.0370374,1.3934033e-07,1.6865842e-07
69a18ce4,20,-7.0170174,1.3158326e-07,2.1877997e-07
69a18ce4,20,-6.996997,1.3205644e-07,1.8311505e-07
69a18ce4,20,-6.976977,1.4334044e-07,1.6212022e-07
69a18ce4,20,-6.956957,1.529403e-07,1.3872696e-07
69a18ce4,20,-6.936937,1.6211897e-07,1.3762008e-07
69a18ce4,20,-6.916917,1.5809852e-07,1.7487831e-07
69a18ce4,20,-6.896897,1.6270135e-07,2.2253572e-07
69a18ce4,20,-6.876877,1.632827e-07,1.8842391e-07
69a18ce4,20,-6.856857,1.6677745e-07,2.6303667e-07
69a18ce4,20,-6.836837,1.8534213e-07,1.9910037e-07
69a18ce4,20,-6.816817,1.7696605e-07,2.2669298e-07
69a18ce4,20,-6.796797,1.8189984e-07,2.4658124e-07
69a18ce4,20,-6.776777,2.107597e-07,2.6446688e-07
69a18ce4,20,-6.756757,1.9636424e-07,2.9500993e-07
69a18ce4,20,-6.736737,2.2128415e-07,2.7732128e-07
69a18ce4,20,-6.716717,2.1693873e-07,2.1840638e-07
69a18ce4,20,-6.6966968,2.2900802e-07,3.876006e-07
69a18ce4,20,-6.6766768,2.1876453e-07,4.95918e-07
69a18ce4,20,-6.6566567,2.3815292e-07,4.0008135e-07
69a18ce4,20,-6.6366367,2.4778632e-07,3.1025354e-07
69a18ce4,20,-6.6166167,2.4581303e-07,2.6509312e-07
69a18ce4,20,-6.5965967,2.533921e-07,3.6745683e-07
69a18ce4,20,-6.5765767,2.6721048e-07,3.9285524e-07
69a18ce4,20,-6.5565567,2.925138e-07,2.2348256e-07
69a18ce4,20,-6.5365367,2.7827076e-07,4.600659e-07
69a18ce4,20,-6.5165167,2.8099834e-07,4.3203616e-07
69a18ce4,20,-6.4964967,2.841009e-07,4.530335e-07
69a18ce4,20,-6.4764767,3.0051478e-07,4.0277112e-07
69a18ce4,20,-6.4564567,3.3175058e-07,4.4739178e-07
69a18ce4,20,-6.4364367,3.2023516e-07,4.1646257e-07
69a18ce4,20,-6.4164166,3.2108835e-07,6.1039225e-07
69a18ce4,20,-6.3963966,3.46802e-07,3.885903e-07
69a18ce4,20,-6.3763766,3.5109085e-07,5.2911867e-07
69a18ce4,20,-6.3563566,3.7728532e-07,5.5352996e-07
69a18ce4,20,-6.3363366,4.0525472e-07,6.2140157e-07
69a18ce4,20,-6.3163166,4.0710788e-07,5.4691003e-07
